;name;lat;lon;totalArea_m2;country;source;infra_EVFC_bool;infra_Grid_bool;lc_LandCoverInfo;lc_FreightHub_bool;lc_FreightHub_w1km_bool;lc_Urbanisation;label_TPC;label_SSTPA;tenT_CoreN_w2km_bool;tenT_CoreN_minDist_km;tenT_CoreN_roadName;tenT_CompN_w2km_bool;tenT_CompN_minDist_km;tenT_CompN_roadName;tenT_TotalN_minDist_km;tenT_UrbanNode_w5km_bool;tenT_UrbanNode_w5km_name;score_TrucksNearby;score_TrucksTotal
0;Truck Stop / Rest Area;52.2604;4.687;22982;NL;Mixed;True;False;Agricultural areas;False;False;city;High;True;True;0.0179283647259635;E019;False;11.421419043939396;E999;0.0;True;Hoofddorp;High;High
1;Truck Stop / Rest Area;49.2084;6.966;20495;DE;Mixed;True;False;Industrial, commercial and transport units;False;False;city;High;True;False;13.774221861371654;E25/E50;True;0.1183021945474721;E050;0.0;True;Saarbruecken;High;High
2;Truck Stop / Rest Area;48.4119;10.9131;10447;DE;Mixed;True;False;Agricultural areas;False;False;city;High;True;True;0.1077451796973158;E052;False;38.61616426034207;E054;0.0;True;Augsburg;High;High
3;Truck Stop / Rest Area;53.4841;10.0259;9572;DE;Mixed;True;False;Urban fabric;False;False;city;High;True;True;0.0052544421352186;E022;False;10.349306281911188;;0.0;True;Harburg;High;High
4;Truck Stop / Rest Area;51.3858;6.2147;101965;NL;Mixed;False;True;Forest and semi natural areas;False;False;city;High;True;True;0.1179480562587668;E034;False;3.7718027002357135;E999;0.0;True;Venlo;High;High
5;Truck Stop / Rest Area;51.541;6.8855;31734;DE;Mixed;False;True;Forest and semi natural areas;False;False;city;High;True;True;0.0408570741247813;E034;False;3.23801478669114;A031;0.0;True;Bottrop;High;High
6;Truck Stop / Rest Area;51.466;5.4182;3032;NL;Mixed;False;True;Industrial, commercial and transport units;False;False;city;High;True;False;6.857082710786307;E034;True;0.9239703068891622;E025;1.0;True;Eindhoven;High;High
7;Truck Stop / Rest Area;51.5812;7.1788;37146;DE;Mixed;False;False;Forest and semi natural areas;False;False;city;High;True;True;0.051384737260578;E034;False;16.57235176456405;A031;0.0;True;Recklinghausen;High;High
8;Truck Stop / Rest Area;47.2621;11.4496;5099;AT;Mixed;False;False;Agricultural areas;False;False;city;High;True;True;0.0411016777037016;E060;True;1.7386328141698917;E060;0.0;True;Innsbruck;High;High
9;Truck Stop / Rest Area;51.3962;6.1613;4460;NL;Mixed;False;False;Agricultural areas;False;False;city;High;True;True;0.0846497818384246;E034;False;2.321633326167712;E999;0.0;True;Venlo;High;High
10;Truck Stop / Rest Area;49.15424;16.63004;1658;CZ;CRS and Others;False;False;Industrial, commercial and transport units;False;False;city;High;True;True;0.0168893232081659;E065;False;7.64996736956505;E461;0.0;True;Brno;High;High
11;Truck Stop / Rest Area;47.2637;11.4528;900;AT;Mixed;False;False;Agricultural areas;False;False;suburb;High;True;True;0.0258380568944433;E060;False;2.032047436821112;E060;0.0;True;Innsbruck;High;High
12;Truck Stop / Rest Area;50.0787;8.7362;9470;DE;Mixed;False;False;Forest and semi natural areas;False;False;city;High;True;True;1.6312116388696625;E042;False;18.17557904827605;E041;2.0;True;Offenbach;High;High
13;Truck Stop / Rest Area;49.2432;8.8807;62551;DE;Mixed;True;True;Industrial, commercial and transport units;False;False;suburb;High;True;True;0.0267112011897772;E050;False;19.379464273475616;E031;0.0;False;-;High;High
14;Truck Stop / Rest Area;49.3564;11.2035;40482;DE;Mixed;True;True;Forest and semi natural areas;False;False;suburb;High;True;True;0.0365683436296218;E045;False;66.96711488469033;E048;0.0;False;-;High;High
15;Truck Stop / Rest Area;47.5996;7.6031;31629;DE;Mixed;True;True;Industrial, commercial and transport units;False;False;city;High;True;True;0.0261971276136939;;False;2.7992849150853267;;0.0;False;-;High;High
16;Truck Stop / Rest Area;53.3476;10.039;24597;DE;Mixed;True;True;Agricultural areas;False;False;suburb;High;True;True;0.0419504160519501;E045;False;4.564697212353748;;0.0;False;-;High;High
17;Truck Stop / Rest Area;49.7802;10.246;21149;DE;Mixed;True;True;Forest and semi natural areas;False;False;rural;High;True;True;0.0144713769693028;E045;False;10.45517975676217;E043;0.0;False;-;High;High
18;Truck Stop / Rest Area;49.1613;8.5687;19562;DE;Mixed;True;True;Industrial, commercial and transport units;False;False;suburb;High;True;True;0.0180726905358272;E035;False;13.885266471564352;E031;0.0;False;-;High;High
19;Truck Stop / Rest Area;48.2137;14.2828;14728;AT;Mixed;True;True;Industrial, commercial and transport units;False;False;suburb;High;True;True;0.0549502189018014;E060;True;1.8277136583615377;E055;0.0;False;-;High;High
20;Truck Stop / Rest Area;48.5627;7.9567;14498;DE;Mixed;True;True;Forest and semi natural areas;False;False;suburb;High;True;True;0.0206199711015202;E035;False;3.501855790318701;E052;0.0;False;-;High;High
21;Truck Stop / Rest Area;48.0667;14.034;14094;AT;Mixed;True;True;Industrial, commercial and transport units;False;False;rural;High;True;True;0.499344598677943;E060;True;0.1018886116659617;E056;0.0;False;-;High;High
22;Truck Stop / Rest Area;46.8477;8.6328;10784;CH;Mixed;True;True;Agricultural areas;False;False;rural;High;True;True;0.0683214741024458;;False;5.28827861416703;;0.0;False;-;High;High
23;Truck Stop / Rest Area;51.158;6.9627;10165;DE;Mixed;True;True;Forest and semi natural areas;False;False;city;High;True;True;0.0341552617053986;E035;False;23.49132080708277;;0.0;False;-;High;High
24;Truck Stop / Rest Area;50.4056;14.932;9337;CZ;Mixed;True;True;Unclassified;False;False;suburb;High;True;False;30.97335308609723;E067;True;0.0082572004185865;E065;0.0;False;-;High;High
25;Truck Stop / Rest Area;51.4945;9.8764;6290;DE;Mixed;True;True;Urban fabric;False;False;suburb;High;True;True;0.0795540092466778;;False;4.640759446099433;A038;0.0;False;-;High;High
26;Truck Stop / Rest Area;48.8089;8.18;5410;DE;Mixed;True;True;Industrial, commercial and transport units;False;False;suburb;High;True;True;0.1672304250939001;E035;False;12.27909528907685;E000;0.0;False;-;High;High
27;Truck Stop / Rest Area;49.5815;10.9286;5213;DE;Mixed;True;True;Forest and semi natural areas;False;False;city;High;True;True;0.0264090954183416;E045;False;37.995671801224354;E048;0.0;False;-;High;High
28;Truck Stop / Rest Area;51.2688;9.5235;1643;DE;OSM;True;True;Industrial, commercial and transport units;False;False;suburb;High;True;True;0.2798674635104752;;True;0.7884115676767787;;0.0;False;-;High;High
29;Truck Stop / Rest Area;58.2269;14.6696;45794;SE;Mixed;True;False;Industrial, commercial and transport units;False;False;rural;High;True;True;0.1834614887686554;;False;;;0.0;False;-;High;High
30;Truck Stop / Rest Area;42.4012;2.8795;42491;ES;Mixed;True;False;Industrial, commercial and transport units;False;False;rural;High;True;True;0.2663008566886627;E015;False;57.23199205583756;C025;0.0;False;-;High;High
31;Truck Stop / Rest Area;51.0614;13.5706;41631;DE;Mixed;True;False;Industrial, commercial and transport units;False;False;rural;High;True;True;0.0590513543697057;E040;False;14.259904585581076;E040;0.0;False;-;High;High
32;Truck Stop / Rest Area;52.2514;12.309;41046;DE;Mixed;True;False;Agricultural areas;False;False;rural;High;True;True;0.0119615008389532;E030;False;49.25449362031762;;0.0;False;-;High;High
33;Truck Stop / Rest Area;52.3164;13.4951;33269;DE;Mixed;True;False;Agricultural areas;False;False;rural;High;True;True;0.0548068726363768;E055;False;60.19557059888274;E036;0.0;False;-;High;High
34;Truck Stop / Rest Area;52.0183;8.6347;31152;DE;Mixed;True;False;Agricultural areas;False;False;city;High;True;True;0.0794671902634257;E034;False;47.02756037448721;E331;0.0;False;-;High;High
35;Truck Stop / Rest Area;50.8179;6.2147;30921;DE;Mixed;True;False;Unclassified;False;False;suburb;High;True;True;0.1101779420117243;E040;False;3.4347805570905434;E314;0.0;False;-;High;High
36;Truck Stop / Rest Area;49.3079;10.9698;30418;DE;Mixed;True;False;Forest and semi natural areas;False;False;rural;High;True;True;0.0402994305938314;E050;False;53.34741302186546;E043;0.0;False;-;High;High
37;Truck Stop / Rest Area;49.0446;9.2638;29594;DE;Mixed;True;False;Agricultural areas;False;False;rural;High;True;True;0.0128590243812468;E041;False;12.794567739552686;;0.0;False;-;High;High
38;Truck Stop / Rest Area;52.3024;13.0176;26954;DE;Mixed;True;False;Forest and semi natural areas;False;False;suburb;High;True;True;0.0075476395370208;E055;False;;;0.0;False;-;High;High
39;Truck Stop / Rest Area;50.6553;5.7105;18169;BE;Mixed;True;False;Industrial, commercial and transport units;False;False;suburb;High;True;True;0.0625127906157696;E40;True;1.0964899487625677;E40-E25;0.0;False;-;High;High
40;Truck Stop / Rest Area;49.2417;10.3577;17803;DE;Mixed;True;False;Forest and semi natural areas;False;False;rural;High;True;True;0.0496213336138215;E050;False;9.342468700315456;E043;0.0;False;-;High;High
41;Truck Stop / Rest Area;51.7918;8.0739;17271;DE;Mixed;True;False;Unclassified;False;False;suburb;High;True;True;9.049961708614508e-05;E034;False;27.2834669014489;E331;0.0;False;-;High;High
42;Truck Stop / Rest Area;51.8659;8.3699;15521;DE;Mixed;True;False;Agricultural areas;False;False;city;High;True;True;0.0251180843056258;E034;False;30.968236795982435;E331;0.0;False;-;High;High
43;Truck Stop / Rest Area;49.6208;10.9204;15257;DE;CRS and Others;True;False;Agricultural areas;False;False;suburb;High;True;True;0.0214398754451173;E045;False;33.598320783860466;E048;0.0;False;-;High;High
44;Truck Stop / Rest Area;50.8765;11.8092;14135;DE;Mixed;True;False;Forest and semi natural areas;False;False;rural;High;True;True;0.0408039951174354;E040;False;2.586042944500277;E040;0.0;False;-;High;High
45;Truck Stop / Rest Area;50.8076;7.2196;12943;DE;Mixed;True;False;Urban fabric;False;False;city;High;True;True;0.0437829959172185;E035;False;15.082527826220566;;0.0;False;-;High;High
46;Truck Stop / Rest Area;55.3942;10.1884;12624;DK;Mixed;True;False;Agricultural areas;False;False;rural;High;True;True;0.0234207899319203;E020;False;17.812727718171114;;0.0;False;-;High;High
47;Truck Stop / Rest Area;53.0908;9.1757;12335;DE;Mixed;True;False;Forest and semi natural areas;False;False;rural;High;True;True;0.2216663321400746;E022;False;45.34785246711968;;0.0;False;-;High;High
48;Truck Stop / Rest Area;54.8038;9.3286;12333;DE;OSM;True;False;Agricultural areas;False;False;rural;High;True;True;0.0260826473481862;E045;False;16.365463617391136;;0.0;False;-;High;High
49;Truck Stop / Rest Area;52.015;5.1212;12116;NL;Mixed;True;False;Industrial, commercial and transport units;False;False;city;High;True;False;4.231803960881679;E025;True;0.0199690173930969;E311;0.0;False;-;High;High
50;Truck Stop / Rest Area;50.6202;3.3413;11055;BE;OSM;True;False;Industrial, commercial and transport units;False;False;suburb;High;True;False;14.096054562907243;E000;True;0.0202251107153346;E429;0.0;False;-;High;High
51;Truck Stop / Rest Area;48.4132;10.4276;10430;DE;Mixed;True;False;Industrial, commercial and transport units;False;False;rural;High;True;True;0.0624127683561979;E052;False;23.420122444930502;E043;0.0;False;-;High;High
52;Truck Stop / Rest Area;47.829;12.5883;10138;DE;OSM;True;False;Urban fabric;False;False;suburb;High;True;True;0.0496232582566627;E060;False;29.74811199653672;E055;0.0;False;-;High;High
53;Truck Stop / Rest Area;48.1245;11.7573;9911;DE;Mixed;True;False;Forest and semi natural areas;False;False;suburb;High;True;True;0.1181162769666312;E045;False;11.53862455067295;A008;0.0;False;-;High;High
54;Truck Stop / Rest Area;51.6082;12.1867;9718;DE;Mixed;True;False;Unclassified;False;False;rural;High;True;True;0.0890673639602011;E051;False;20.97183943525459;;0.0;False;-;High;High
55;Truck Stop / Rest Area;50.8707;11.8497;9684;DE;Mixed;True;False;Forest and semi natural areas;False;False;suburb;High;True;True;0.0779262849756951;E051;True;1.079840243567222;E040;0.0;False;-;High;High
56;Truck Stop / Rest Area;55.9777;9.8699;8393;DK;Mixed;True;False;Agricultural areas;False;False;suburb;High;True;True;0.1734006805583109;E045;False;18.448405973879503;;0.0;False;-;High;High
57;Truck Stop / Rest Area;53.3657;9.737;7943;DE;Mixed;True;False;Artificial, non-agricultural vegetated areas;False;False;rural;High;True;True;0.0272661803302067;E022;False;19.21125789191094;;0.0;False;-;High;High
58;Truck Stop / Rest Area;50.8982;7.1529;7563;DE;OSM;True;False;Urban fabric;False;False;suburb;High;True;True;0.0027226883228266;E035;False;5.752594502059779;;0.0;False;-;High;High
